sample,bootstrap_id,model,label,fvu,mae
full_21,102,fin+text,H+Z,0.11437485566640465,5.454322615710996
full_21,102,fin+x+text,H+X+Z,0.10242335244118353,4.824692356677546
full_21,103,fin,H,0.22262890101791236,4.974302029912409
full_21,103,fin+x,H+X,0.17710666534073877,4.62563658330627
full_21,103,fin+text,H+Z,0.2683752344141225,4.712205547563523
full_21,103,fin+x+text,H+X+Z,0.2368719577352843,4.435072416779299
full_21,104,fin,H,0.43463196749917,7.973695074542897
full_21,104,fin+x,H+X,0.08576079178575156,3.5329264537820784
full_21,104,fin+text,H+Z,0.06734399138630057,2.684524881768907
full_21,104,fin+x+text,H+X+Z,0.06971191897980013,3.0035975390841396
full_21,105,fin,H,0.14280907290085695,6.784440997222964
full_21,105,fin+x,H+X,0.03860719299655432,3.279349398794331
full_21,105,fin+text,H+Z,0.055358112529915945,3.5793770219968737
