sample,bootstrap_id,method,label,fvu,mae
full_21,760,gbt,GBT,5.357023570829011,49.04958287892293
full_21,760,ensembled_llm,Ensembled LLM,0.024077478714296524,3.074728030217519
full_21,760,our_method,Our Method,0.05553656102159408,4.118455644040578
full_21,761,historical_average,Historical Avg.,1.4832562749324705,16.561323892443923
full_21,761,ols,OLS,19.044516545454,67.41863368399153
full_21,761,gbt,GBT,7.454181573150761,44.886309227973406
full_21,761,ensembled_llm,Ensembled LLM,0.06086937623956572,3.4153164493918466
full_21,761,our_method,Our Method,0.04985051545142429,2.863897041371286
full_21,762,historical_average,Historical Avg.,5.269004575310961,18.76140383722596
full_21,762,ols,OLS,29.54678098186783,65.17908009293642
full_21,762,gbt,GBT,10.794025697799707,40.15873281157317
full_21,762,ensembled_llm,Ensembled LLM,0.07037142243295894,2.3927388873937603
full_21,762,our_method,Our Method,0.027229769900744934,1.5732264086245116
full_21,763,historical_average,Historical Avg.,2.0814628331158644,17.73700604571658
full_21,763,ols,OLS,23.071295077425663,84.36082856416199
full_21,763,gbt,GBT,6.767021301832474,46.70861423254386
full_21,763,ensembled_llm,Ensembled LLM,0.04454647956334889,3.1451311862923292
full_21,763,our_method,Our Method,0.04745634813887735,3.0927430780647978
full_21,764,historical_average,Historical Avg.,3.10213365384224,19.994031411818806
full_21,764,ols,OLS,38.99181294548485,96.52961141845623
full_21,764,gbt,GBT,7.239487527266104,37.52203776868997
full_21,764,ensembled_llm,Ensembled LLM,0.07753832086424445,3.6299795956336878
full_21,764,our_method,Our Method,0.10889175446133717,3.4150255047803806
full_21,765,historical_average,Historical Avg.,2.013473993594255,12.466305810373987
full_21,765,ols,OLS,54.0198185387676,95.28782244837844
full_21,765,gbt,GBT,11.512305633363654,45.205094659632714
full_21,765,ensembled_llm,Ensembled LLM,0.11950029380204173,3.692730401117535
full_21,765,our_method,Our Method,0.10771783775232016,3.3262791282110307
full_21,766,historical_average,Historical Avg.,1.1715684957600079,20.470835247360124
full_21,766,ols,OLS,14.029115150876535,86.96303864300546
full_21,766,gbt,GBT,5.218275707998851,53.54758295129003
full_21,766,ensembled_llm,Ensembled LLM,0.03228628145022427,3.633381544193704
full_21,766,our_method,Our Method,0.015063585383438426,2.533929873992343
full_21,767,historical_average,Historical Avg.,2.882876054607763,17.52027603595027
full_21,767,ols,OLS,24.525465256518252,74.00080628041457
full_21,767,gbt,GBT,7.154589897438605,38.56132296865096
full_21,767,ensembled_llm,Ensembled LLM,0.0736630586927124,3.5233416114640708
full_21,767,our_method,Our Method,0.11956722184866986,3.8139045799651146
full_21,768,historical_average,Historical Avg.,2.3142147110211235,20.96479703726474
full_21,768,ols,OLS,15.2080829225786,65.03955669039817
full_21,768,gbt,GBT,6.225664723543939,44.632055439851825
full_21,768,ensembled_llm,Ensembled LLM,0.047673288939865825,3.599398676392384
full_21,768,our_method,Our Method,0.06462139004168439,3.300107466273691
full_21,769,historical_average,Historical Avg.,1.1011256843611184,13.837219434606741
full_21,769,ols,OLS,25.176769113028215,87.42512672843617
full_21,769,gbt,GBT,7.52316828413402,48.88527384721221
full_21,769,ensembled_llm,Ensembled LLM,0.07881319090187897,4.059225300633651
full_21,769,our_method,Our Method,0.06721574890649677,3.380638049505168
